time,mouse_dx,mouse_dy,mouse_scroll
2021-06-11T18:31:22.083,0,0,0
2021-06-11T18:31:22.090,0,0,0
2021-06-11T18:31:22.090,0,0,0
2021-06-11T18:31:22.095,0,0,0
2021-06-11T18:31:22.100,0,0,0
2021-06-11T18:31:22.104,0,0,0
2021-06-11T18:31:22.107,0,0,0
2021-06-11T18:31:22.113,0,0,0
2021-06-11T18:31:22.117,0,0,0
2021-06-11T18:31:22.120,0,0,0
2021-06-11T18:31:22.126,0,0,0
2021-06-11T18:31:22.129,0,0,0
2021-06-11T18:31:22.134,0,0,0
2021-06-11T18:31:22.139,0,0,0
2021-06-11T18:31:22.144,0,0,0
2021-06-11T18:31:22.148,0,0,0
2021-06-11T18:31:22.151,0,0,0
2021-06-11T18:31:22.155,0,0,0
2021-06-11T18:31:22.159,0,0,0
2021-06-11T18:31:22.163,0,0,0
2021-06-11T18:31:22.168,0,0,0
2021-06-11T18:31:22.174,0,0,0
2021-06-11T18:31:22.176,0,0,0
2021-06-11T18:31:22.180,0,0,0
2021-06-11T18:31:22.185,0,0,0
2021-06-11T18:31:22.188,0,0,0
2021-06-11T18:31:22.192,0,0,0
2021-06-11T18:31:22.196,0,0,0
2021-06-11T18:31:22.201,0,0,0
2021-06-11T18:31:22.207,0,0,0
2021-06-11T18:31:22.211,0,0,0
2021-06-11T18:31:22.216,0,0,0
2021-06-11T18:31:22.220,0,0,0
2021-06-11T18:31:22.223,0,0,0
2021-06-11T18:31:22.227,0,0,0
2021-06-11T18:31:22.232,0,0,0
2021-06-11T18:31:22.237,0,0,0
2021-06-11T18:31:22.241,0,0,0
2021-06-11T18:31:22.246,0,0,0
2021-06-11T18:31:22.249,0,0,0
2021-06-11T18:31:22.255,0,0,0
2021-06-11T18:31:22.260,0,0,0
2021-06-11T18:31:22.264,0,0,0
2021-06-11T18:31:22.268,0,0,0
2021-06-11T18:31:22.272,0,0,0
2021-06-11T18:31:22.277,0,0,0
2021-06-11T18:31:22.280,0,0,0
2021-06-11T18:31:22.286,0,0,0
2021-06-11T18:31:22.292,0,0,0
2021-06-11T18:31:22.294,0,0,0
2021-06-11T18:31:22.299,0,0,0
2021-06-11T18:31:22.304,0,0,0
2021-06-11T18:31:22.308,0,0,0
2021-06-11T18:31:22.312,0,0,0
2021-06-11T18:31:22.317,0,0,0
2021-06-11T18:31:22.322,0,0,0
2021-06-11T18:31:22.328,0,0,0
2021-06-11T18:31:22.331,0,0,0
2021-06-11T18:31:22.335,0,0,0
2021-06-11T18:31:22.340,0,0,0
2021-06-11T18:31:22.344,0,0,0
2021-06-11T18:31:22.348,0,0,0
2021-06-11T18:31:22.353,0,0,0
2021-06-11T18:31:22.356,0,0,0
2021-06-11T18:31:22.361,0,0,0
2021-06-11T18:31:22.363,0,0,0
2021-06-11T18:31:22.368,0,0,0
2021-06-11T18:31:22.373,0,0,0
2021-06-11T18:31:22.377,0,0,0
2021-06-11T18:31:22.382,0,0,0
2021-06-11T18:31:22.386,0,0,0
2021-06-11T18:31:22.390,0,0,0
2021-06-11T18:31:22.395,0,0,0
2021-06-11T18:31:22.399,0,0,0
2021-06-11T18:31:22.404,0,0,0
2021-06-11T18:31:22.408,0,0,0
2021-06-11T18:31:22.411,0,0,0
2021-06-11T18:31:22.418,0,0,0
2021-06-11T18:31:22.423,0,0,0
2021-06-11T18:31:22.427,0,0,0
2021-06-11T18:31:22.432,0,0,0
2021-06-11T18:31:22.437,0,0,0
2021-06-11T18:31:22.442,0,0,0
2021-06-11T18:31:22.448,0,0,0
2021-06-11T18:31:22.451,0,0,0
2021-06-11T18:31:22.455,0,0,0
2021-06-11T18:31:22.459,0,0,0
2021-06-11T18:31:22.464,0,0,0
2021-06-11T18:31:22.468,0,0,0
2021-06-11T18:31:22.473,0,0,0
2021-06-11T18:31:22.477,0,0,0
2021-06-11T18:31:22.481,0,0,0
2021-06-11T18:31:22.485,0,0,0
2021-06-11T18:31:22.489,0,0,0
2021-06-11T18:31:22.495,0,0,0
2021-06-11T18:31:22.498,0,0,0
2021-06-11T18:31:22.502,0,0,0
2021-06-11T18:31:22.507,0,0,0
2021-06-11T18:31:22.511,0,0,0
2021-06-11T18:31:22.516,0,0,0
2021-06-11T18:31:22.521,0,0,0
2021-06-11T18:31:22.525,0,0,0
2021-06-11T18:31:22.528,0,0,0
2021-06-11T18:31:22.531,0,0,0
2021-06-11T18:31:22.535,0,0,0
2021-06-11T18:31:22.541,0,0,0
2021-06-11T18:31:22.546,0,0,0
2021-06-11T18:31:22.549,0,0,0
2021-06-11T18:31:22.553,0,0,0
2021-06-11T18:31:22.558,0,0,0
2021-06-11T18:31:22.562,0,0,0
2021-06-11T18:31:22.567,0,0,0
2021-06-11T18:31:22.572,0,0,0
2021-06-11T18:31:22.578,0,0,0
2021-06-11T18:31:22.581,0,0,0
2021-06-11T18:31:22.586,0,0,0
2021-06-11T18:31:22.591,0,0,0
2021-06-11T18:31:22.594,0,0,0
2021-06-11T18:31:22.598,0,0,0
2021-06-11T18:31:22.602,0,0,0
2021-06-11T18:31:22.606,0,0,0
2021-06-11T18:31:22.610,0,0,0
2021-06-11T18:31:22.614,0,0,0
2021-06-11T18:31:22.618,0,0,0
2021-06-11T18:31:22.621,0,0,0
2021-06-11T18:31:22.625,0,0,0
2021-06-11T18:31:22.629,0,0,0
2021-06-11T18:31:22.633,0,0,0
2021-06-11T18:31:22.637,0,0,0
2021-06-11T18:31:22.644,0,0,0
2021-06-11T18:31:22.649,0,0,0
2021-06-11T18:31:22.652,0,0,0
2021-06-11T18:31:22.656,0,0,0
2021-06-11T18:31:22.661,0,0,0
2021-06-11T18:31:22.665,0,0,0
2021-06-11T18:31:22.669,0,0,0
2021-06-11T18:31:22.673,0,0,0
2021-06-11T18:31:22.679,0,0,0
2021-06-11T18:31:22.682,0,0,0
2021-06-11T18:31:22.685,0,0,0
2021-06-11T18:31:22.691,0,0,0
2021-06-11T18:31:22.696,0,0,0
2021-06-11T18:31:22.702,0,0,0
2021-06-11T18:31:22.705,0,0,0
2021-06-11T18:31:22.710,0,0,0
2021-06-11T18:31:22.713,0,0,0
2021-06-11T18:31:22.718,0,0,0
2021-06-11T18:31:22.723,0,0,0
2021-06-11T18:31:22.728,0,0,0
2021-06-11T18:31:22.732,0,0,0
2021-06-11T18:31:22.737,0,0,0
2021-06-11T18:31:22.741,0,0,0
2021-06-11T18:31:22.746,0,0,0
2021-06-11T18:31:22.750,0,0,0
2021-06-11T18:31:22.754,0,0,0
2021-06-11T18:31:22.758,0,0,0
2021-06-11T18:31:22.763,0,0,0
2021-06-11T18:31:22.766,0,0,0
2021-06-11T18:31:22.770,0,0,0
2021-06-11T18:31:22.776,0,0,0
2021-06-11T18:31:22.780,0,0,0
2021-06-11T18:31:22.785,0,0,0
2021-06-11T18:31:22.790,0,0,0
2021-06-11T18:31:22.793,0,0,0
2021-06-11T18:31:22.799,0,0,0
2021-06-11T18:31:22.804,0,0,0
2021-06-11T18:31:22.808,0,0,0
2021-06-11T18:31:22.812,0,0,0
2021-06-11T18:31:22.816,0,0,0
2021-06-11T18:31:22.820,0,0,0
2021-06-11T18:31:22.826,0,0,0
2021-06-11T18:31:22.829,0,0,0
2021-06-11T18:31:22.833,0,0,0
2021-06-11T18:31:22.837,0,0,0
2021-06-11T18:31:22.843,0,0,0
2021-06-11T18:31:22.848,0,0,0
2021-06-11T18:31:22.853,0,0,0
2021-06-11T18:31:22.858,0,0,0
2021-06-11T18:31:22.861,0,0,0
2021-06-11T18:31:22.865,0,0,0
2021-06-11T18:31:22.870,0,0,0
2021-06-11T18:31:22.874,0,0,0
2021-06-11T18:31:22.878,0,0,0
2021-06-11T18:31:22.883,0,0,0
2021-06-11T18:31:22.890,0,0,0
2021-06-11T18:31:22.892,0,0,0
2021-06-11T18:31:22.897,0,0,0
2021-06-11T18:31:22.902,0,0,0
2021-06-11T18:31:22.906,0,0,0
2021-06-11T18:31:22.912,0,0,0
2021-06-11T18:31:22.915,0,0,0
2021-06-11T18:31:22.919,0,0,0
2021-06-11T18:31:22.922,0,0,0
